latitude,longitude,event_date,soil_wetness_gwet_top,soil_moisture_source
27.339267,93.802581,2016-07-16,0.97,NASA_POWER_MERRA2
27.58741667,91.88694444,2016-04-22,0.78,NASA_POWER_MERRA2
27.58741667,91.88694444,2016-04-22,0.78,NASA_POWER_MERRA2
27.587417,91.886944,2016-04-22,0.78,NASA_POWER_MERRA2
27.591389,91.9025,2016-04-23,0.77,NASA_POWER_MERRA2
27.593361,91.879444,2016-04-23,0.77,NASA_POWER_MERRA2
27.594833,91.866417,2016-04-22,0.78,NASA_POWER_MERRA2
27.596639,91.878972,2016-04-23,0.77,NASA_POWER_MERRA2
27.596639,91.878972,2016-04-23,0.77,NASA_POWER_MERRA2
27.105253,93.825399,2024-06-18,0.86,NASA_POWER_MERRA2
27.121136,93.762164,2024-06-18,0.86,NASA_POWER_MERRA2
27.121136,93.762164,2024-06-18,0.86,NASA_POWER_MERRA2
27.099285,93.614766,2026-03-16,0.67,NASA_POWER_MERRA2
27.715081,94.692035,2026-06-28,0.96,NASA_POWER_MERRA2
22.873558,92.755953,2018-06-14,0.96,NASA_POWER_MERRA2
24.40639,94.06583,2007-09-07,0.68,NASA_POWER_MERRA2
24.792333,93.658222,2010-06-10,0.89,NASA_POWER_MERRA2
24.813306,93.243417,2018-08-02,0.92,NASA_POWER_MERRA2
24.81778,93.51583,2007-09-10,0.81,NASA_POWER_MERRA2
24.83278,93.46333,2008-07-01,0.72,NASA_POWER_MERRA2
24.84833,93.45917,2007-09-12,0.81,NASA_POWER_MERRA2
24.84833,93.45917,2008-06-19,0.69,NASA_POWER_MERRA2
24.90139,93.45389,2008-06-19,0.69,NASA_POWER_MERRA2
24.9252,94.3371,2018-06-06,0.81,NASA_POWER_MERRA2
24.983528,94.158333,2018-06-12,0.9,NASA_POWER_MERRA2
24.983806,93.497528,2018-06-22,0.95,NASA_POWER_MERRA2
24.985167,93.508306,2018-05-03,0.67,NASA_POWER_MERRA2
24.98611,93.50583,2007-08-24,0.72,NASA_POWER_MERRA2
24.99083,93.50583,2007-08-28,0.73,NASA_POWER_MERRA2
24.99083,93.50583,2007-08-28,0.73,NASA_POWER_MERRA2
24.99306,93.4975,2007-08-28,0.73,NASA_POWER_MERRA2
24.994278,94.205917,2007-08-28,0.63,NASA_POWER_MERRA2
24.997972,94.020444,2007-08-28,0.73,NASA_POWER_MERRA2
25.047833,92.789306,2018-07-11,0.96,NASA_POWER_MERRA2
25.146528,93.941722,2017-06-04,0.85,NASA_POWER_MERRA2
25.47217,94.15433,2007-09-09,0.79,NASA_POWER_MERRA2
24.979,93.496,2024-07-29,0.83,NASA_POWER_MERRA2
24.517056,93.817056,2024-08-02,0.88,NASA_POWER_MERRA2
24.985,93.52113889,2011-05-31,0.84,NASA_POWER_MERRA2
24.79083333,93.72333333,2011-07-06,0.84,NASA_POWER_MERRA2
25.07849444,94.23608333,2017-04-05,0.79,NASA_POWER_MERRA2
25.201,91.234,2008-08-12,0.91,NASA_POWER_MERRA2
25.20283,91.20908,2008-08-10,0.91,NASA_POWER_MERRA2
25.28236861,91.73874417,2024-05-30,0.98,NASA_POWER_MERRA2
25.296,91.932,2022-04-04,0.95,NASA_POWER_MERRA2
25.300389,91.726722,2009-06-29,0.88,NASA_POWER_MERRA2
25.31458,91.45242,2013-08-06,0.95,NASA_POWER_MERRA2
25.31488,91.44913,2007-07-19,0.96,NASA_POWER_MERRA2
25.31488,91.33367,2007-07-19,0.96,NASA_POWER_MERRA2
