latitude,longitude,historical_landslide,elevation_m,slope_degrees
24.004481,93.033503,0,1135.0,23.842636023792362
25.254967,92.424928,0,704.0,24.54265305833281
24.226678,93.303342,0,1098.0,29.661893739510848
25.33057,92.924809,0,535.0,20.991582376941242
26.528066,93.850339,0,98.0,1.8175220187198482
29.071516,94.969589,0,1714.0,41.8627407939744
24.13203,93.594492,0,962.0,14.663910850320782
25.357037,94.620812,0,1782.0,28.09860341401633
28.893309,94.474138,0,4015.0,36.141422348079566
28.966742,94.227826,0,3202.0,3.1818128120974354
26.038366,92.008878,0,225.0,1.0675202709770988
28.77666,94.100464,0,4208.0,16.46605279144296
26.223839,95.052957,0,1240.0,14.907015718609198
27.206171,94.486294,0,96.0,1.6876048941769748
22.545437,92.654286,0,358.0,27.423880886999655
27.631649,88.390532,0,2866.0,34.34312015369677
26.84324,92.435305,0,129.0,2.4563945664087456
26.717371,93.514761,0,75.0,1.391763426244203
22.626721,92.634832,0,89.0,7.594643368591445
28.39526,94.311965,0,3497.0,17.842681707487124
24.307067,92.287952,0,45.0,1.6876048941769748
25.812843,91.811806,0,617.0,22.753549669872495
25.050103,93.113018,0,801.0,30.61885839795703
26.646808,95.123325,0,988.0,26.068997192066927
27.195005,92.13087,0,3112.0,26.064074661084863
25.769763,94.748808,0,678.0,28.89113365401821
24.826872,93.194535,0,47.0,3.8436681673213813
28.442627,96.278495,0,2660.0,13.964880910609391
28.115419,92.785353,0,4701.0,29.39063279226727
23.058355,92.615228,0,500.0,16.8595168388382
24.53741,93.075293,0,84.0,8.811234328732239
26.029844,93.200667,0,110.0,1.9678637764222802
24.361706,92.292828,0,41.0,0.6752059787394532
23.697809,93.387552,0,1411.0,14.233109137789887
27.24752,95.012981,0,109.0,3.389067065438376
28.11691,94.251382,0,1390.0,51.57676150790064
28.485324,93.560361,0,4839.0,9.015509788449524
25.378838,92.956569,0,435.0,16.23188685787168
28.350347,94.121163,0,2026.0,28.454283303155208
28.40737,96.024822,0,1607.0,32.80074300019695
27.655228,94.768681,0,120.0,1.012750369636371
28.739126,94.536335,0,3495.0,34.33914964618987
27.931742,88.444673,0,4951.0,29.784095541431434
27.904468,93.332375,0,926.0,6.4231509137348155
26.36205,91.260844,0,42.0,1.3502244696996157
25.133349,94.018716,0,1036.0,3.7692440164074177
23.725228,92.55476,0,901.0,22.476822833218517
26.266021,93.388728,0,1251.0,30.252619831720597
26.199169,90.592602,0,29.0,0.0
27.544349,94.459234,0,122.0,4.763641690726178
24.591575,93.719086,0,1071.0,12.194383223416786
26.612809,93.996899,0,99.0,2.5695028228896355
27.36568,94.3837,0,96.0,0.4774537773095774
28.249287,94.20901,0,956.0,23.04134354177199
24.26504,94.088298,0,1216.0,22.361441170119782
26.301859,92.156319,0,59.0,1.7210061534334908
27.558576,95.593779,0,134.0,1.0675202709770988
27.995292,97.105214,0,3810.0,47.24660675818882
27.003684,92.287577,0,1208.0,26.246849689869403
26.339385,94.332715,0,406.0,2.385944030388813
29.01659,95.743519,0,2181.0,34.218582707648956
28.784007,95.757037,0,2887.0,25.301435480548037
25.647487,90.873531,0,645.0,8.246892638951962
27.532844,94.315281,0,116.0,1.012750369636371
25.011482,92.61247,0,53.0,3.035723707408927
25.2769,91.495523,0,517.0,22.556678646299897
26.769448,94.242732,0,98.0,0.7548944975654582
27.698543,88.657306,0,3857.0,8.767251443500896
27.885391,88.152027,0,6672.0,23.889642136750812
25.899311,94.9849,0,1827.0,27.63100627025136
28.464858,95.375108,0,2079.0,44.89667509911437
25.387225,92.914268,0,486.0,23.653214487235275
24.962574,92.515032,0,18.0,0.7548944975654582
25.629758,94.462036,0,1109.0,31.764434242777654
26.066919,93.96361,0,137.0,0.9548412538721887
25.35466,92.999866,0,484.0,0.0
28.358079,94.609455,0,1146.0,33.27369602543111
27.727182,94.131316,0,1214.0,55.62409754445401
25.35303,91.19848,0,942.0,9.142972736785135
23.088786,91.530973,0,22.0,1.5095270002735288
26.166487,93.525435,0,785.0,9.51443116720917
28.473221,95.065427,0,1315.0,38.80545680273016
24.586496,93.656526,0,857.0,23.021526638116164
28.015113,93.409196,0,1466.0,28.661547312801563
29.274387,95.957268,0,3838.0,29.01091580590408
28.182485,96.746249,0,2387.0,20.88727638387147
25.595085,94.234929,0,1261.0,21.25371448094992
23.995868,92.167797,0,109.0,8.16580964839238
24.071726,92.053763,0,181.0,4.5823147648922165
25.602393,94.390486,0,1290.0,22.384172683758795
26.450504,91.728031,0,57.0,2.1342998941463125
27.561999,88.084997,0,5653.0,5.269658122688171
25.704968,94.627239,0,1024.0,29.95471185588949
28.007428,95.846332,0,176.0,8.001043010589031
28.4282,96.671779,0,3617.0,37.64847849035989
26.255393,93.424793,0,1108.0,28.2530034750777
25.083566,94.682023,0,1227.0,27.41028169409525
28.20179,93.823058,0,1766.0,12.557681307308359
25.883333,93.548054,0,194.0,1.5095270002735288
28.103371,94.850106,0,486.0,18.232085761299903
27.66135,93.675222,0,1987.0,30.75891656616658
27.658805,95.104549,0,112.0,0.4774537773095774
26.721236,93.318873,0,70.0,1.4320961841646465
28.444282,93.883189,0,2674.0,24.863891037796268
25.341102,90.930341,0,454.0,15.649096780194936
25.422365,92.779056,0,649.0,17.485346583773303
27.899187,93.223219,0,2582.0,26.95818375771802
26.845708,95.625059,0,2180.0,25.256657219795606
25.51958,91.034865,0,841.0,39.52406605121237
23.238702,92.755377,0,781.0,17.41334553404802
25.234568,90.341263,0,112.0,11.999138465478147
25.874193,92.143145,0,695.0,6.729688843059036
26.439673,91.193174,0,43.0,1.0675202709770988
26.8116,95.431511,0,1940.0,18.245700062427762
26.88128,94.815837,0,104.0,1.5095270002735288
26.325683,91.146123,0,40.0,0.3376147110174216
27.196735,97.109225,0,3199.0,24.771744420729636
26.418265,91.696958,0,56.0,2.698950908923438
26.983274,95.656728,0,1269.0,24.8373642231443
27.49999,95.805014,0,150.0,2.6350263783644494
25.901627,94.455615,0,1460.0,40.778100455043855
25.126557,94.08533,0,907.0,23.91965362035784
28.59055,95.86293,0,1170.0,40.909794435417254
23.161097,91.553711,0,81.0,11.583636009094745
27.743251,95.827445,0,138.0,2.8821812090202448
24.084381,92.18805,0,74.0,10.024987862075742
24.269066,93.032338,0,222.0,30.67105405407576
24.060628,92.352384,0,117.0,10.759583898850556
25.909653,91.602148,0,412.0,8.077000600578957
28.087888,97.095798,0,3861.0,38.118359946677124
26.765494,90.362503,0,163.0,2.263636058426967
25.335187,90.099614,0,94.0,9.898627976311248
28.255603,96.762621,0,4034.0,45.29631863432991
27.895897,94.122329,0,1282.0,30.308519253426013
27.178613,95.812559,0,328.0,1.8175220187198482
25.911999,94.848749,0,1066.0,33.957477357459055
26.56704,92.04742,0,70.0,0.6752059787394532
25.758141,92.957588,0,109.0,1.8175220187198482
25.478233,91.682817,0,1744.0,18.785164618760206
26.668243,94.902391,0,672.0,10.482881655565379
27.472989,95.26488,0,118.0,1.0675202709770988
28.062432,93.145169,0,3203.0,16.067079210634994
27.173475,92.380049,0,2362.0,18.188432287233457
28.047296,93.951005,0,1200.0,33.50097823942329
27.781577,88.605512,0,3911.0,27.142055418765164
24.148461,92.314778,0,118.0,6.18293016594826
23.846456,93.117127,0,579.0,29.14753247032426
27.534105,96.374007,0,532.0,7.917305155246911
27.969406,92.893818,0,3824.0,22.73538675151149
28.128904,93.675733,0,905.0,30.498931686310716
24.357447,93.140099,0,290.0,28.64612749644701
26.475314,90.893566,0,46.0,1.5095270002735288
29.110645,94.399175,0,2536.0,35.16089877335206
27.799074,88.644363,0,4825.0,36.41270532798108
26.493927,93.344752,0,404.0,9.20898742169279
29.080798,94.395899,0,2817.0,55.599339840138896
25.924706,93.407521,0,169.0,2.3619913818349927
26.828574,91.754077,0,237.0,8.380191745041826
25.695798,94.928091,0,1854.0,36.789908272309304
26.167137,91.650232,0,46.0,2.160788974078258
22.862997,92.629891,0,152.0,14.073633716023295
27.297049,96.015616,0,341.0,16.931476365156406
26.545506,93.198124,0,194.0,5.759620519825523
27.728701,92.954168,0,1662.0,20.782250463123127
27.058477,92.242346,0,2146.0,39.03808257396001
26.75507,95.347244,0,1030.0,25.670420306808527
28.306459,96.425141,0,2840.0,13.91959061491351
26.719421,90.368163,0,135.0,2.5695028228896355
25.954946,90.859054,0,57.0,3.9454763934793324
23.209178,92.736803,0,686.0,27.372447043216628
27.363455,94.204793,0,94.0,0.4774537773095774
28.280843,93.700979,0,2163.0,30.258981562005786
28.150692,93.31066,0,1451.0,33.1737940577547
26.280767,94.042359,0,125.0,1.0675202709770988
27.712102,94.133321,0,1694.0,36.76087717499856
26.749028,91.928483,0,122.0,4.787290497376919
26.660018,92.694171,0,65.0,0.7548944975654582
25.584469,92.144872,0,1047.0,13.142105387504266
26.505709,89.930263,0,59.0,2.9018215173024653
28.418171,94.914224,0,1012.0,36.25560178915802
26.166975,91.495619,0,46.0,0.0
25.450669,91.012201,0,431.0,24.27913368416974
26.571313,91.623557,0,61.0,1.4320961841646465
24.293503,93.442916,0,1027.0,29.901501833453317
25.693659,92.851036,0,148.0,2.160788974078258
25.481633,94.162746,0,1354.0,20.738657385574744
27.688755,94.851318,0,118.0,1.9091524329963763
23.404997,93.373301,0,1007.0,15.359426015518492
27.692874,92.752618,0,2641.0,39.727886428017456
27.621838,96.838979,0,3719.0,12.776750912510217
25.771649,89.883588,0,28.0,1.0675202709770988
22.280988,92.713346,0,427.0,24.23693389272071
25.379293,92.465794,0,1071.0,3.016961309815993
25.819688,93.711523,0,162.0,1.012750369636371
26.553934,91.095396,0,51.0,6.423150913734816
27.27395,93.016627,0,1358.0,30.8622671178205
27.398763,95.502277,0,139.0,3.0543699951638654
27.781363,95.372071,0,121.0,1.6876048941769748
27.36923,93.442421,0,1926.0,27.554763330999993
26.604114,93.925524,0,94.0,2.6350263783644494
24.301313,92.952114,0,947.0,15.874325631883014
27.365651,95.269472,0,121.0,1.9678637764222802
27.157852,94.059801,0,88.0,2.5695028228896355
26.140148,90.329751,0,27.0,0.0
27.926187,96.789643,0,798.0,11.471257006629077
24.797583,94.372963,0,1110.0,24.43413404727132
28.099073,97.226394,0,4591.0,26.25982709963758
27.995504,96.986194,0,2058.0,30.258981562005786
23.870013,92.170917,0,106.0,5.479268333625944
23.460785,92.515947,0,907.0,11.981212095058318
26.356472,93.800044,0,235.0,7.718201376243395
26.741152,93.004422,0,70.0,1.012750369636371
25.967546,93.409509,0,169.0,4.072588647671146
28.989327,94.810046,0,1462.0,38.06727216792498
25.668253,91.744305,0,999.0,5.258953144814
25.657179,93.119663,0,326.0,12.106073141102074
28.345037,96.835331,0,4114.0,40.95954184281254
23.39112,92.411991,0,330.0,23.021526638116164
23.876191,92.326387,0,173.0,19.295109135877045
28.691101,96.060592,0,1650.0,24.8373642231443
29.120018,95.09807,0,2421.0,21.047972492487517
25.721962,91.823477,0,754.0,15.70167123678081
26.498775,95.041461,0,1825.0,18.232085761299903
26.073528,91.921515,0,60.0,1.0675202709770988
25.985348,92.438382,0,600.0,22.441886093428515
27.236518,92.212015,0,2598.0,17.083143246452856
26.25014,92.764196,0,71.0,3.109633021988153
22.814851,92.903836,0,408.0,29.433478888833008
26.328755,89.943222,0,51.0,2.1342998941463125
25.377863,92.837151,0,673.0,2.8821812090202448
27.383379,95.597792,0,190.0,3.016961309815993
26.292357,95.023315,0,2036.0,31.558764409033664
27.727252,91.855912,0,4408.0,24.809020828199806
25.103645,94.083976,0,920.0,27.31781173736662
28.764287,96.187254,0,2808.0,31.284874832376456
25.998764,94.233555,0,872.0,10.999158271052183
24.557324,94.155921,0,1478.0,22.249367941393537
27.417833,92.98375,0,1043.0,15.543304781484048
26.037485,94.343611,0,913.0,14.277243114666133
28.136574,93.012808,0,4353.0,15.483414558201002
28.59111,95.213667,0,2193.0,28.7829994896477
27.232907,93.631847,0,1081.0,29.06979941178212
27.513283,88.469917,0,2335.0,22.441886093428515
23.703655,91.793853,0,125.0,3.3384705437643523
