latitude,longitude,elevation_m,slope_degrees,historical_landslide
25.443639,93.431444,451.0,4.262693045214654,1
25.443861,93.426222,429.0,24.22774531795417,1
25.443972,93.422778,410.0,27.238572082130062,1
25.444028,93.4265,418.0,19.68967329725292,1
25.444167,93.425528,416.0,26.126317264569018,1
25.444194,93.424694,414.0,27.33604368814356,1
25.444306,93.423944,400.0,13.262676008304846,1
25.446056,93.408583,401.0,19.787913812706314,1
25.447528,93.364417,387.0,33.66525729241905,1
25.449056,93.370861,427.0,18.96231828867539,1
25.452278,93.394333,420.0,5.788832299437198,1
25.453167,93.394667,414.0,12.260147486012336,1
25.453528,93.371194,440.0,19.370844026969944,1
25.453611,93.371389,440.0,22.636129876883253,1
25.454083,93.375972,415.0,15.503408837548552,1
25.455333,93.374472,424.0,17.03574212804197,1
25.462361,93.384306,425.0,21.31357434104547,1
25.50669,93.10536,210.0,0.9548412538721888,1
25.513567,92.784825,323.0,11.348119585994183,1
25.51402,92.765435,486.0,11.038532615965034,1
25.569,92.71653,595.0,25.915703593185818,1
25.57994,92.72822,446.0,16.723558006484023,1
25.61092,93.09178,238.0,0.9548412538721888,1
25.64897,93.12083,346.0,23.628423517864427,1
25.65167,93.12083,357.0,14.592550602033429,1
25.65792,93.11811,357.0,8.735690934280582,1
25.65839,93.11808,353.0,11.499465999742789,1
25.67153,93.11522,332.0,13.421509132977462,1
25.72486,93.131083,160.0,19.787913812706314,1
25.72561,93.13075,160.0,18.370345512861498,1
25.75933,92.52258,713.0,13.326469949385988,1
25.79,91.24,781.0,3.4389123953782974,1
25.79939,92.52653,622.0,15.99993592924168,1
25.809417,92.474833,724.0,37.038767555809535,1
25.81044,93.58616,200.0,3.4389123953782974,1
25.81175,92.55003,510.0,24.74862531519583,1
25.812,92.55069,505.0,28.222814437179903,1
25.81236,92.55156,493.0,16.69924423399362,1
25.81428,92.55422,484.0,18.87922133905067,1
25.81542,92.5535,470.0,12.260147486012336,1
25.81678,92.71878,205.0,10.046788047511114,1
25.81689,92.71744,214.0,16.796238729882134,1
25.81756,93.10886,223.0,9.462322208025618,1
25.81806,92.74872,245.0,21.971970836813973,1
25.82108,92.544,457.0,7.653048720543413,1
25.822458,92.546381,481.0,12.04828213833979,1
25.82522,93.4243,190.0,7.653048720543413,1
25.82528,92.54775,465.0,11.499465999742789,1
25.82769,92.55658,466.0,15.06995574963759,1
25.83128,93.45257,196.0,30.58895816397544,1
25.84,91.35,79.0,17.594079543115168,1
25.84152,93.45138,196.0,17.5484006137923,1
25.84267,93.45244,190.0,15.288517970232029,1
25.84444,93.45331,200.0,15.179705807856672,1
25.84494,92.61514,322.0,8.984876931685683,1
25.84512,93.56682,260.0,8.530765609948133,1
25.84516,93.68408,185.0,7.416536974278209,1
25.84541,93.68312,177.0,11.038532615965034,1
25.8465,93.687,172.0,15.36952380130432,1
25.84782,93.70174,158.0,9.870926939134982,1
25.84875,92.68328,477.0,27.5172599283964,1
25.84967,92.69042,461.0,20.07880037349212,1
25.84992,92.69072,459.0,21.835672195716143,1
25.85072,93.56682,250.0,9.508656426564368,1
25.8515,92.69203,464.0,20.80971857959822,1
25.85167,92.58089,465.0,23.76524510807156,1
25.85189,93.56633,249.0,4.262693045214654,1
25.85487,93.56583,246.0,18.520635899770767,1
25.85498,93.56638,249.0,24.359555875506427,1
25.85544,92.57369,443.0,8.935631425418535,1
25.85992,92.72558,147.0,21.83567219571615,1
25.864186,92.571047,508.0,23.567234622032583,1
25.86958,92.59411,445.0,18.96231828867539,1
25.88494,93.45792,194.0,1.9091524329963765,1
25.88692,92.61347,440.0,17.842681707487124,1
25.90653,92.65819,273.0,18.77467605427877,1
25.90692,92.64714,321.0,17.083143246452856,1
25.91,91.4,60.0,1.3502244696996155,1
25.946611,92.305361,572.0,15.793169048263966,1
25.95,91.28,68.0,4.763641690726178,1
25.95381,92.60444,309.0,21.971970836813973,1
25.95386,92.60367,308.0,21.971970836813973,1
25.95931,92.51753,102.0,28.08409936669116,1
25.96094,92.60122,138.0,17.775317038209,1
25.961444,92.341333,555.0,6.091478002079769,1
25.965731,92.59267,115.0,18.305448954250743,1
25.96667,92.356917,670.0,12.364552990274646,1
25.968083,92.3575,646.0,28.257311688503773,1
25.977194,92.354778,572.0,15.179705807856672,1
25.98219,92.51892,100.0,16.72355800648402,1
26.006,90.595,53.0,1.9091524329963765,1
26.012,92.264167,384.0,30.37812888097552,1
26.013528,92.266083,358.0,23.069045509039658,1
26.016389,92.48225,240.0,26.577778623734844,1
26.022833,92.274028,283.0,20.097992628721148,1
26.024167,92.475,222.0,20.07880037349212,1
26.030972,92.474139,231.0,11.038532615965034,1
26.031528,92.472778,259.0,23.4904160686416,1
26.031583,92.47375,264.0,23.628423517864427,1
26.03275,92.271861,168.0,27.360321545332805,1
26.033556,92.468056,280.0,23.19506859014077,1
26.035278,92.470861,271.0,20.973493421320807,1
26.036583,92.273056,201.0,14.763132623631552,1
26.039194,92.4595,314.0,25.14243049054343,1
26.039361,92.273806,155.0,16.253917058152773,1
26.0405,92.0355,235.0,5.550718212127324,1
26.042139,92.27525,145.0,24.242444512172103,1
26.043267,92.055531,247.0,14.15548761586253,1
26.043583,92.440528,444.0,34.417388710441564,1
26.043583,92.452222,343.0,17.29444852858009,1
26.043611,92.440944,445.0,30.347789794448904,1
26.043722,92.441472,443.0,26.360054096082703,1
26.045472,92.457417,364.0,12.364552990274646,1
26.045806,92.450778,419.0,28.553305000609424,1
26.048611,92.432194,438.0,15.36952380130432,1
26.050286,91.880072,73.0,11.461836902818336,1
26.056083,93.406528,220.0,25.197913740371355,1
26.058972,93.406972,335.0,10.43076019506472,1
26.061,90.605,64.0,14.931417178137552,1
26.061861,92.147889,110.0,22.373844274024943,1
26.0641,91.889136,79.0,20.097992628721148,1
26.065167,92.150639,102.0,22.61986494804043,1
26.071556,91.734028,304.0,16.72355800648402,1
26.077653,91.982292,190.0,18.262020066776483,1
26.077806,92.170389,79.0,8.049466975528398,1
26.077844,92.035022,217.0,8.735690934280582,1
26.080139,92.032667,199.0,3.016961309815993,1
26.083972,92.14525,76.0,13.915808695897177,1
26.094578,92.135144,85.0,15.042369244334246,1
26.096722,92.43875,346.0,26.20460176321736,1
26.097986,91.980589,92.0,23.3822424378352,1
26.098167,91.881278,83.0,4.857533338413092,1
26.098222,92.439389,344.0,24.359555875506427,1
26.101333,92.440556,331.0,10.046788047511114,1
26.10175,92.040222,82.0,16.051123667414398,1
26.102167,92.440472,314.0,14.03624346792648,1
26.102333,92.4415,313.0,16.69924423399362,1
26.102667,92.441639,302.0,21.260377126997216,1
26.102944,91.862111,151.0,25.88918455713453,1
26.103028,92.440889,310.0,14.273571375658683,1
26.105667,92.441,275.0,24.634322367669885,1
26.105806,91.62275,64.0,18.87922133905067,1
26.10725,92.44,256.0,22.09025870405004,1
26.107667,92.44003,243.0,13.824682316158707,1
26.108417,92.440222,247.0,15.06995574963759,1
26.109222,91.939,75.0,21.47206914335925,1
26.11,94.76,1005.0,23.428692808745403,1
26.110056,91.908944,101.0,11.904688112848122,1
26.110139,92.439333,228.0,24.094842552110705,1
26.112083,92.091028,71.0,11.461836902818336,1
26.112667,91.853889,188.0,25.8493248967401,1
26.113639,92.441222,203.0,15.609525869125669,1
26.115139,91.837833,144.0,7.653048720543413,1
26.116972,92.440083,173.0,16.428860704621638,1
26.117111,92.441028,184.0,21.938008256074177,1
26.117417,92.438667,162.0,3.4389123953782974,1
26.118167,92.440944,180.0,20.097992628721148,1
26.119417,92.439972,162.0,21.260377126997213,1
26.121056,91.716389,65.0,7.653048720543413,1
26.129583,91.938306,98.0,13.824682316158707,1
26.13222,91.83972,78.0,4.857533338413092,1
26.13442,91.7501,92.0,10.555380466061171,1
26.13611,91.74056,86.0,26.360054096082703,1
26.149444,91.748,136.0,24.46133251877165,1
26.1505375,91.72798139,76.0,17.387333467314576,1
26.153556,92.038694,87.0,14.03624346792648,1
26.15428,91.79264,78.0,7.653048720543413,1
26.15461,91.80086,79.0,7.2338446967252255,1
26.15478,91.77411,105.0,12.364552990274646,1
26.155,91.798167,86.0,14.03624346792648,1
26.158639,91.921889,119.0,3.016961309815993,1
26.159139,91.915583,101.0,16.796238729882134,1
26.159333,91.917611,106.0,10.759583898850556,1
26.1625,91.71444,71.0,13.262676008304846,1
26.166583,91.714806,128.0,24.932657538079724,1
26.171972,92.002611,80.0,6.0172848640320336,1
26.172917,92.762778,105.0,18.64821573021375,1
26.1755,91.76175,62.0,6.654425046006596,1
26.17672,91.78672,85.0,27.372447043216628,1
26.17672,91.76525,87.0,17.5484006137923,1
26.17756,91.76589,96.0,17.29444852858009,1
26.17806,91.76083,61.0,13.16632060042364,1
26.18842,91.85125,96.0,30.10305246289624,1
26.18867,91.76694,111.0,9.73677691573277,1
26.18917,91.80111,80.0,14.302914425322813,1
26.189306,91.787944,70.0,9.508656426564368,1
26.1895,91.787167,70.0,12.225122675735753,1
26.19025,91.806472,84.0,17.571258778322424,1
26.190389,91.809944,94.0,21.86985930890943,1
26.19081,91.84528,67.0,22.42335855928612,1
