latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,soil_wetness_gwet_top,soil_moisture_source,nearest_landslide_distance_km,nearest_landslide_latitude,nearest_landslide_longitude
26.628634,91.757556,2025-05-31,24.75499725341797,73.0,1.96786377642228,0.83,NASA_POWER_MERRA2,29.57940639867975,26.37456,91.84561
26.088517,91.909109,2025-05-30,120.2149887084961,134.0,16.18139460308577,0.94,NASA_POWER_MERRA2,2.9792063769575856,26.098167,91.881278
24.460136,93.973828,2024-05-28,99.96499633789062,866.0,18.180232325920816,0.91,NASA_POWER_MERRA2,11.066458844060733,24.40639,94.06583
24.220985,93.783445,2025-05-31,13.899999618530272,1127.0,20.37590688735051,0.87,NASA_POWER_MERRA2,17.451867829477248,24.3309,93.66054444
23.954213,91.636002,2024-07-02,20.41499710083008,58.0,7.33339277230879,0.95,NASA_POWER_MERRA2,16.587038506517477,23.980333,91.475278
24.865074,93.972289,2016-05-22,2.390000104904175,782.0,2.385944030388813,0.88,NASA_POWER_MERRA2,15.554888679618776,24.997972,94.020444
25.629587,91.050251,2024-05-28,12.095001220703123,898.0,16.931476365156406,0.98,NASA_POWER_MERRA2,9.195931050818611,25.66156667,91.13485278
29.106735,95.993175,2016-05-22,35.67999649047852,3962.0,30.09406096139528,0.85,NASA_POWER_MERRA2,200.34511314912308,27.715081,94.692035
29.052951,94.279385,2016-05-22,0.2549999952316284,4201.0,20.634907946565825,0.8,NASA_POWER_MERRA2,154.14397960082414,27.715081,94.692035
27.219002,92.262175,2024-05-28,12.774999618530272,1825.0,33.608258310846004,0.76,NASA_POWER_MERRA2,39.098114941113636,26.89074,92.12068
24.541466,92.231465,2024-05-28,77.06999969482422,39.0,6.762860735059933,0.96,NASA_POWER_MERRA2,19.248085291386257,24.70619444,92.28997222
26.184535,93.989692,2025-05-30,60.589988708496094,118.0,4.380487094158032,0.88,NASA_POWER_MERRA2,13.891013404743116,26.07256,93.928
26.496271,91.354061,2024-05-28,19.584999084472656,49.0,1.4320961841646465,0.77,NASA_POWER_MERRA2,45.05593888755625,26.2272613,91.6922458
25.757585,92.779348,2025-05-31,54.44000244140625,130.0,3.843668167321381,0.86,NASA_POWER_MERRA2,35.68518442444954,25.69814,93.129423
25.636532,91.978014,2025-05-31,52.91999053955078,975.0,18.74316463666049,0.99,NASA_POWER_MERRA2,6.903978995916874,25.663444,91.915944
26.284343,91.742207,2024-07-02,4.434999942779541,108.0,6.804089732608741,0.87,NASA_POWER_MERRA2,8.069079687876961,26.2272613,91.6922458
27.673675,95.58938,2025-06-01,8.0,134.0,1.6876048941769748,0.93,NASA_POWER_MERRA2,88.4691238843333,27.715081,94.692035
26.922652,94.719341,2024-05-24,12.834999084472656,94.0,0.6752059787394532,0.56,NASA_POWER_MERRA2,23.954331239269898,26.70744,94.70858
27.509529,93.954254,2016-05-22,3.950000286102295,2565.0,20.462735458857964,0.84,NASA_POWER_MERRA2,24.135683158846025,27.339267,93.802581
23.805201,92.288421,2009-06-20,8.180001258850098,167.0,15.19676900939817,0.76,NASA_POWER_MERRA2,39.547879642595454,23.93027778,92.6525
26.487858,91.455015,2017-06-13,61.410003662109375,58.0,0.3376147110174216,0.79,NASA_POWER_MERRA2,37.39460222685775,26.2272613,91.6922458
26.112282,92.752977,2016-05-22,3.12000036239624,68.0,4.262693045214654,0.82,NASA_POWER_MERRA2,59.484291171846344,25.69814,93.129423
27.416401,92.236234,2025-05-31,11.80500030517578,2387.0,22.47682283321852,0.82,NASA_POWER_MERRA2,38.23649761657125,27.591389,91.9025
27.995504,96.986194,2024-07-02,0.4399999976158142,2058.0,30.258981562005783,0.96,NASA_POWER_MERRA2,227.68257757087127,27.715081,94.692035
25.890855,94.558102,2023-04-13,0.0,1405.0,27.86940402714471,0.68,NASA_POWER_MERRA2,31.6376209724889,26.11,94.76
27.256378,94.305877,2016-06-22,11.879999160766602,91.0,1.0675202709770988,0.9,NASA_POWER_MERRA2,49.39135497119532,27.23995,93.806589
22.669703,92.736961,2012-06-22,7.97499942779541,283.0,25.22039963647754,0.84,NASA_POWER_MERRA2,20.170659694542614,22.54735,92.882032
27.126705,93.126159,2021-08-22,2.640000104904175,1600.0,29.349019491371177,0.83,NASA_POWER_MERRA2,48.45625292896251,27.099285,93.614766
27.242974,88.518896,2024-05-28,1.3049999475479126,580.0,30.58895816397544,0.57,NASA_POWER_MERRA2,0.768871036989624,27.23772,88.51384
27.569235,93.109273,2025-05-31,21.46500015258789,926.0,28.35466400077033,0.87,NASA_POWER_MERRA2,72.27659361161939,27.099285,93.614766
28.913347,96.289189,2024-06-01,0.1749999970197677,3322.0,37.63634880026285,0.73,NASA_POWER_MERRA2,205.41649395513187,27.715081,94.692035
24.039511,94.183911,2017-07-09,11.6850004196167,340.0,14.833525810160392,0.73,NASA_POWER_MERRA2,32.1753884778365,24.325444,94.232583
24.920225,94.04579,2025-06-01,51.28499603271485,794.0,3.109633021988153,0.91,NASA_POWER_MERRA2,9.014778305183157,24.997972,94.020444
26.222396,94.108464,2018-08-23,3.764999866485596,479.0,12.334204111082284,0.95,NASA_POWER_MERRA2,19.33146324455812,26.10694722,94.25328889
28.58364,94.340556,2024-06-18,51.3550033569336,2850.0,34.078971944854835,0.88,NASA_POWER_MERRA2,102.5429180040759,27.715081,94.692035
26.410757,91.51373,2022-10-15,0.0,54.0,1.9091524329963765,0.73,NASA_POWER_MERRA2,27.071850152112745,26.2272613,91.6922458
27.350908,93.572684,2025-06-01,21.68000030517578,1791.0,19.370844026969944,0.91,NASA_POWER_MERRA2,22.743719514212078,27.339267,93.802581
23.531309,92.858399,2024-05-28,81.0149917602539,715.0,26.509251945803687,0.93,NASA_POWER_MERRA2,6.045334606872085,23.47694444,92.857846
25.213681,93.350167,2017-07-04,15.605003356933594,1062.0,26.297079837592264,0.96,NASA_POWER_MERRA2,12.86064899145516,25.224278,93.222861
27.10073,93.93044,2020-06-02,17.450000762939453,94.0,2.7199233149201807,0.85,NASA_POWER_MERRA2,10.409601844561802,27.105253,93.825399
25.157346,90.472015,2016-05-22,0.0,21.0,3.7692440164074177,0.89,NASA_POWER_MERRA2,17.15784987722208,25.21022222,90.63220278
27.791563,92.942553,2025-06-01,22.84499931335449,1357.0,20.63028032583684,0.83,NASA_POWER_MERRA2,91.16151002028296,27.018342,92.6356
28.524425,95.346083,2024-05-28,33.65999984741211,2426.0,47.09361965530517,0.77,NASA_POWER_MERRA2,110.51354396441953,27.715081,94.692035
24.928346,93.574312,2025-06-01,39.93500518798828,1072.0,21.702479637244338,0.91,NASA_POWER_MERRA2,8.27167660250955,24.985,93.52113889
25.838926,94.555641,2025-06-01,12.28499984741211,1797.0,14.741937164918705,0.87,NASA_POWER_MERRA2,36.412403234998266,26.11,94.76
27.169327,94.619202,2025-06-01,4.710000038146973,96.0,1.817522018719848,0.85,NASA_POWER_MERRA2,52.118171716111554,26.70744,94.70858
26.123043,91.908998,2025-05-31,16.71500015258789,76.0,3.7692440164074177,0.89,NASA_POWER_MERRA2,3.9130251178820443,26.098167,91.881278
25.114774,93.473721,2023-10-02,0.0,220.0,0.7548944975654582,0.66,NASA_POWER_MERRA2,13.744332282642633,24.99306,93.4975
26.230745,91.892269,2024-05-26,28.645000457763672,53.0,1.0675202709770988,0.66,NASA_POWER_MERRA2,3.922178053760594,26.20536,91.86497
25.64667,92.079661,2018-05-18,0.0,906.0,6.423150913734816,0.91,NASA_POWER_MERRA2,11.72288873257128,25.54261,92.09842
26.174956,91.595953,2024-06-15,63.65999221801758,44.0,0.0,0.86,NASA_POWER_MERRA2,10.197017127244905,26.17027,91.698
27.300646,94.378307,2007-09-10,24.81999969482422,92.0,3.389067065438376,0.96,NASA_POWER_MERRA2,55.50678453096679,27.715081,94.692035
25.681866,90.953997,2024-07-02,12.829998016357422,782.0,6.457954637909866,0.99,NASA_POWER_MERRA2,16.477620880479243,25.68625,91.118358
26.124846,93.00418,2008-06-19,2.549999952316284,79.0,0.7548944975654582,0.69,NASA_POWER_MERRA2,49.073257366173486,25.69814,93.129423
25.722462,92.2455,2024-05-28,32.41500473022461,828.0,8.327142652905913,0.97,NASA_POWER_MERRA2,24.251092112289186,25.54261,92.10867
25.940242,92.19692,2024-07-02,9.90999984741211,853.0,13.582101615290334,0.86,NASA_POWER_MERRA2,24.63490400381971,26.11956,92.052125
