index,latitude,longitude,error
1640,28.113323,97.250232,DEM tile not found: data/satellite\N28E097.hgt
1655,28.025154,97.237373,DEM tile not found: data/satellite\N28E097.hgt
1665,28.361108,93.421002,DEM tile not found: data/satellite\N28E093.hgt
1706,28.021231,93.737634,DEM tile not found: data/satellite\N28E093.hgt
1731,28.292398,93.463044,DEM tile not found: data/satellite\N28E093.hgt
1737,28.194353,92.909029,DEM tile not found: data/satellite\N28E092.hgt
1777,29.411425,96.084154,DEM tile not found: data/satellite\N29E096.hgt
1787,28.182088,92.941785,DEM tile not found: data/satellite\N28E092.hgt
1800,29.129992,95.929405,DEM tile not found: data/satellite\N29E095.hgt
1814,28.136313,97.141603,DEM tile not found: data/satellite\N28E097.hgt
1832,28.48253,93.929725,DEM tile not found: data/satellite\N28E093.hgt
1883,29.055703,94.894936,DEM tile not found: data/satellite\N29E094.hgt
1916,26.021857,89.867968,DEM tile not found: data/satellite\N26E089.hgt
1955,28.297161,93.670733,DEM tile not found: data/satellite\N28E093.hgt
1974,28.589802,93.438029,DEM tile not found: data/satellite\N28E093.hgt
1977,28.088627,93.922588,DEM tile not found: data/satellite\N28E093.hgt
1990,28.286177,93.823613,DEM tile not found: data/satellite\N28E093.hgt
1996,29.047064,94.965506,DEM tile not found: data/satellite\N29E094.hgt
2003,29.189328,95.87787,DEM tile not found: data/satellite\N29E095.hgt
2024,28.246229,93.76755,DEM tile not found: data/satellite\N28E093.hgt
2027,28.627592,93.908884,DEM tile not found: data/satellite\N28E093.hgt
2028,29.32985,94.656143,DEM tile not found: data/satellite\N29E094.hgt
2039,29.035075,94.632377,DEM tile not found: data/satellite\N29E094.hgt
2042,28.532499,93.369313,DEM tile not found: data/satellite\N28E093.hgt
2052,29.132638,96.090788,DEM tile not found: data/satellite\N29E096.hgt
2053,28.64891,93.408115,DEM tile not found: data/satellite\N28E093.hgt
2071,29.348558,95.827059,DEM tile not found: data/satellite\N29E095.hgt
2072,28.160746,97.291493,DEM tile not found: data/satellite\N28E097.hgt
2073,28.440493,93.375727,DEM tile not found: data/satellite\N28E093.hgt
2106,28.173407,93.497077,DEM tile not found: data/satellite\N28E093.hgt
2111,28.605013,93.340412,DEM tile not found: data/satellite\N28E093.hgt
2113,29.080333,94.69997,DEM tile not found: data/satellite\N29E094.hgt
2136,26.359472,89.801119,DEM tile not found: data/satellite\N26E089.hgt
2146,27.86147,97.154643,DEM tile not found: data/satellite\N27E097.hgt
2155,28.142414,93.05395,DEM tile not found: data/satellite\N28E093.hgt
2172,26.325681,89.975514,DEM tile not found: data/satellite\N26E089.hgt
2179,26.51292,89.907353,DEM tile not found: data/satellite\N26E089.hgt
2194,29.174005,94.862977,DEM tile not found: data/satellite\N29E094.hgt
2199,28.389729,93.306842,DEM tile not found: data/satellite\N28E093.hgt
2214,28.106474,92.929965,DEM tile not found: data/satellite\N28E092.hgt
2270,28.059464,97.098106,DEM tile not found: data/satellite\N28E097.hgt
2327,26.2245,89.84068,DEM tile not found: data/satellite\N26E089.hgt
2339,28.122044,93.787694,DEM tile not found: data/satellite\N28E093.hgt
2379,29.237037,95.885484,DEM tile not found: data/satellite\N29E095.hgt
2403,29.191313,95.903805,DEM tile not found: data/satellite\N29E095.hgt
2417,29.001386,95.02908,DEM tile not found: data/satellite\N29E095.hgt
2420,27.928572,97.340108,DEM tile not found: data/satellite\N27E097.hgt
2437,28.17232,93.172372,DEM tile not found: data/satellite\N28E093.hgt
2456,28.071562,93.424325,DEM tile not found: data/satellite\N28E093.hgt
2467,28.442543,93.206612,DEM tile not found: data/satellite\N28E093.hgt
2472,29.026435,94.808508,DEM tile not found: data/satellite\N29E094.hgt
2495,29.114401,96.067061,DEM tile not found: data/satellite\N29E096.hgt
2504,28.026558,93.293513,DEM tile not found: data/satellite\N28E093.hgt
2568,27.935196,97.079509,DEM tile not found: data/satellite\N27E097.hgt
2577,29.394173,96.006027,DEM tile not found: data/satellite\N29E096.hgt
2582,28.08386,93.120267,DEM tile not found: data/satellite\N28E093.hgt
2586,29.030481,96.122554,DEM tile not found: data/satellite\N29E096.hgt
2625,26.628485,89.873186,DEM tile not found: data/satellite\N26E089.hgt
2670,26.382712,89.879883,DEM tile not found: data/satellite\N26E089.hgt
2675,28.109882,92.858993,DEM tile not found: data/satellite\N28E092.hgt
2679,28.600099,93.610123,DEM tile not found: data/satellite\N28E093.hgt
2697,28.565354,93.785033,DEM tile not found: data/satellite\N28E093.hgt
2700,28.072626,93.649757,DEM tile not found: data/satellite\N28E093.hgt
2724,27.947158,97.067698,DEM tile not found: data/satellite\N27E097.hgt
2736,29.08983,95.085518,DEM tile not found: data/satellite\N29E095.hgt
2740,28.078162,93.848109,DEM tile not found: data/satellite\N28E093.hgt
2777,28.202028,93.546459,DEM tile not found: data/satellite\N28E093.hgt
2789,28.194347,93.439393,DEM tile not found: data/satellite\N28E093.hgt
2806,28.290705,93.75061,DEM tile not found: data/satellite\N28E093.hgt
2813,28.451489,93.399648,DEM tile not found: data/satellite\N28E093.hgt
2814,29.159915,94.900149,DEM tile not found: data/satellite\N29E094.hgt
2821,26.063888,89.833749,DEM tile not found: data/satellite\N26E089.hgt
2830,28.634208,93.653502,DEM tile not found: data/satellite\N28E093.hgt
2832,28.502051,93.33202,DEM tile not found: data/satellite\N28E093.hgt
2833,29.214675,96.270801,DEM tile not found: data/satellite\N29E096.hgt
2843,28.652449,93.797191,DEM tile not found: data/satellite\N28E093.hgt
2850,29.137943,94.749307,DEM tile not found: data/satellite\N29E094.hgt
2854,28.17482,93.96179,DEM tile not found: data/satellite\N28E093.hgt
2872,28.023199,93.041427,DEM tile not found: data/satellite\N28E093.hgt
2876,28.251888,93.890242,DEM tile not found: data/satellite\N28E093.hgt
2911,29.021607,96.447088,DEM tile not found: data/satellite\N29E096.hgt
2923,27.150223,97.108878,DEM tile not found: data/satellite\N27E097.hgt
2926,29.212777,94.772621,DEM tile not found: data/satellite\N29E094.hgt
2943,29.08798,96.066471,DEM tile not found: data/satellite\N29E096.hgt
2957,29.193771,94.549982,DEM tile not found: data/satellite\N29E094.hgt
2981,28.133564,93.338443,DEM tile not found: data/satellite\N28E093.hgt
2983,29.193828,95.904885,DEM tile not found: data/satellite\N29E095.hgt
3003,28.068568,88.562168,DEM tile not found: data/satellite\N28E088.hgt
3007,28.42937,93.659441,DEM tile not found: data/satellite\N28E093.hgt
3012,29.068236,94.964027,DEM tile not found: data/satellite\N29E094.hgt
3015,28.016024,93.208954,DEM tile not found: data/satellite\N28E093.hgt
3061,29.191064,96.315595,DEM tile not found: data/satellite\N29E096.hgt
3076,26.581588,89.931363,DEM tile not found: data/satellite\N26E089.hgt
3077,28.646445,93.588527,DEM tile not found: data/satellite\N28E093.hgt
3092,29.364989,95.86833,DEM tile not found: data/satellite\N29E095.hgt
3097,27.872734,97.038109,DEM tile not found: data/satellite\N27E097.hgt
3102,29.394658,95.952714,DEM tile not found: data/satellite\N29E095.hgt
3144,28.539069,93.286425,DEM tile not found: data/satellite\N28E093.hgt
3161,28.306379,93.397527,DEM tile not found: data/satellite\N28E093.hgt
3168,29.351244,96.029427,DEM tile not found: data/satellite\N29E096.hgt
3177,28.273499,97.192662,DEM tile not found: data/satellite\N28E097.hgt
3186,28.09725,93.045518,DEM tile not found: data/satellite\N28E093.hgt
3196,28.006253,97.110529,DEM tile not found: data/satellite\N28E097.hgt
3221,29.198123,95.605573,DEM tile not found: data/satellite\N29E095.hgt
3235,29.032362,95.236994,DEM tile not found: data/satellite\N29E095.hgt
3236,26.515261,89.907486,DEM tile not found: data/satellite\N26E089.hgt
3248,29.112924,95.86211,DEM tile not found: data/satellite\N29E095.hgt
3289,25.91291,95.006109,DEM tile not found: data/satellite\N25E095.hgt
3295,29.013691,95.162022,DEM tile not found: data/satellite\N29E095.hgt
3299,28.122389,93.992337,DEM tile not found: data/satellite\N28E093.hgt
3310,28.313851,93.196612,DEM tile not found: data/satellite\N28E093.hgt
3318,28.455237,93.840708,DEM tile not found: data/satellite\N28E093.hgt
3321,28.032183,93.659129,DEM tile not found: data/satellite\N28E093.hgt
3345,28.218482,92.945995,DEM tile not found: data/satellite\N28E092.hgt
3354,29.024645,94.454077,DEM tile not found: data/satellite\N29E094.hgt
3374,25.991731,95.030991,DEM tile not found: data/satellite\N25E095.hgt
3408,29.186533,95.900754,DEM tile not found: data/satellite\N29E095.hgt
3410,26.599983,89.899892,DEM tile not found: data/satellite\N26E089.hgt
3436,29.2001,95.61866,DEM tile not found: data/satellite\N29E095.hgt
3478,28.12122,92.918681,DEM tile not found: data/satellite\N28E092.hgt
3504,29.013051,95.400276,DEM tile not found: data/satellite\N29E095.hgt
3521,29.277711,96.034135,DEM tile not found: data/satellite\N29E096.hgt
3613,28.035199,93.861466,DEM tile not found: data/satellite\N28E093.hgt
3651,28.035421,93.203222,DEM tile not found: data/satellite\N28E093.hgt
3681,27.993101,97.163995,DEM tile not found: data/satellite\N27E097.hgt
3684,28.106789,97.315843,DEM tile not found: data/satellite\N28E097.hgt
3690,27.765267,97.053155,DEM tile not found: data/satellite\N27E097.hgt
3737,28.464773,93.888647,DEM tile not found: data/satellite\N28E093.hgt
3777,29.127382,94.859425,DEM tile not found: data/satellite\N29E094.hgt
3799,27.992427,97.302679,DEM tile not found: data/satellite\N27E097.hgt
3811,28.499523,93.777364,DEM tile not found: data/satellite\N28E093.hgt
3841,28.702204,93.856184,DEM tile not found: data/satellite\N28E093.hgt
3926,28.360119,93.96825,DEM tile not found: data/satellite\N28E093.hgt
3938,28.041854,92.823963,DEM tile not found: data/satellite\N28E092.hgt
3947,28.039723,93.001873,DEM tile not found: data/satellite\N28E093.hgt
3960,26.132299,89.779271,DEM tile not found: data/satellite\N26E089.hgt
3997,29.071912,95.568778,DEM tile not found: data/satellite\N29E095.hgt
4006,28.02773,97.036353,DEM tile not found: data/satellite\N28E097.hgt
4066,27.257589,97.014019,DEM tile not found: data/satellite\N27E097.hgt
4090,28.459309,93.758699,DEM tile not found: data/satellite\N28E093.hgt
4092,28.653415,93.991572,DEM tile not found: data/satellite\N28E093.hgt
4096,28.55952,93.809936,DEM tile not found: data/satellite\N28E093.hgt
4107,28.146293,92.793185,DEM tile not found: data/satellite\N28E092.hgt
4124,29.097865,95.496288,DEM tile not found: data/satellite\N29E095.hgt
4140,28.009778,88.802535,DEM tile not found: data/satellite\N28E088.hgt
4153,28.064001,93.703937,DEM tile not found: data/satellite\N28E093.hgt
4156,28.325333,93.534535,DEM tile not found: data/satellite\N28E093.hgt
4186,29.262757,95.904136,DEM tile not found: data/satellite\N29E095.hgt
4190,29.300941,95.919937,DEM tile not found: data/satellite\N29E095.hgt
4194,29.106735,95.993175,DEM tile not found: data/satellite\N29E095.hgt
4227,29.142583,94.884868,DEM tile not found: data/satellite\N29E094.hgt
4273,28.419059,93.249225,DEM tile not found: data/satellite\N28E093.hgt
4289,26.40849,89.991236,DEM tile not found: data/satellite\N26E089.hgt
4322,29.141687,94.331571,DEM tile not found: data/satellite\N29E094.hgt
4324,28.006138,93.15025,DEM tile not found: data/satellite\N28E093.hgt
4331,27.111463,97.096766,DEM tile not found: data/satellite\N27E097.hgt
4339,28.303612,93.141281,DEM tile not found: data/satellite\N28E093.hgt
4368,28.277118,93.981901,DEM tile not found: data/satellite\N28E093.hgt
4389,28.152033,93.323658,DEM tile not found: data/satellite\N28E093.hgt
4394,29.104198,95.857277,DEM tile not found: data/satellite\N29E095.hgt
4401,29.098657,96.093432,DEM tile not found: data/satellite\N29E096.hgt
4403,29.096842,94.800543,DEM tile not found: data/satellite\N29E094.hgt
4419,28.314659,93.740137,DEM tile not found: data/satellite\N28E093.hgt
4433,29.172503,96.135773,DEM tile not found: data/satellite\N29E096.hgt
4437,28.211299,97.121531,DEM tile not found: data/satellite\N28E097.hgt
4440,29.274356,95.816532,DEM tile not found: data/satellite\N29E095.hgt
4467,29.134974,95.570121,DEM tile not found: data/satellite\N29E095.hgt
4469,29.061831,94.358687,DEM tile not found: data/satellite\N29E094.hgt
4472,28.295522,93.524659,DEM tile not found: data/satellite\N28E093.hgt
4525,28.051213,93.198203,DEM tile not found: data/satellite\N28E093.hgt
4538,28.625987,93.645596,DEM tile not found: data/satellite\N28E093.hgt
4567,28.455645,93.856984,DEM tile not found: data/satellite\N28E093.hgt
4577,28.353954,93.693438,DEM tile not found: data/satellite\N28E093.hgt
4591,28.304396,93.348755,DEM tile not found: data/satellite\N28E093.hgt
4592,27.971564,97.050354,DEM tile not found: data/satellite\N27E097.hgt
4603,29.290939,95.820237,DEM tile not found: data/satellite\N29E095.hgt
4610,28.250968,97.051432,DEM tile not found: data/satellite\N28E097.hgt
4613,28.299084,93.814198,DEM tile not found: data/satellite\N28E093.hgt
4618,28.496611,93.710434,DEM tile not found: data/satellite\N28E093.hgt
4623,28.006325,93.745167,DEM tile not found: data/satellite\N28E093.hgt
4626,29.124625,94.970348,DEM tile not found: data/satellite\N29E094.hgt
4636,27.941808,97.313617,DEM tile not found: data/satellite\N27E097.hgt
4653,28.174042,93.479046,DEM tile not found: data/satellite\N28E093.hgt
4655,26.540054,89.979851,DEM tile not found: data/satellite\N26E089.hgt
4682,29.136205,94.792979,DEM tile not found: data/satellite\N29E094.hgt
4685,28.254875,93.983506,DEM tile not found: data/satellite\N28E093.hgt
4703,29.19272,94.498474,DEM tile not found: data/satellite\N29E094.hgt
4766,28.195287,93.286407,DEM tile not found: data/satellite\N28E093.hgt
4772,28.148268,93.991358,DEM tile not found: data/satellite\N28E093.hgt
4823,29.223975,96.121846,DEM tile not found: data/satellite\N29E096.hgt
4851,28.013107,97.306093,DEM tile not found: data/satellite\N28E097.hgt
4855,29.209354,96.070877,DEM tile not found: data/satellite\N29E096.hgt
4856,28.244734,93.4734,DEM tile not found: data/satellite\N28E093.hgt
4861,29.174002,96.205912,DEM tile not found: data/satellite\N29E096.hgt
4871,29.013715,95.32772,DEM tile not found: data/satellite\N29E095.hgt
4879,28.230132,97.268113,DEM tile not found: data/satellite\N28E097.hgt
4880,29.165919,96.146684,DEM tile not found: data/satellite\N29E096.hgt
4887,28.252638,93.272586,DEM tile not found: data/satellite\N28E093.hgt
4898,28.632844,93.376661,DEM tile not found: data/satellite\N28E093.hgt
4916,28.041276,93.064253,DEM tile not found: data/satellite\N28E093.hgt
4929,27.944719,97.074025,DEM tile not found: data/satellite\N27E097.hgt
4941,26.176239,89.902434,DEM tile not found: data/satellite\N26E089.hgt
4955,28.22712,97.049716,DEM tile not found: data/satellite\N28E097.hgt
4968,29.106976,95.553607,DEM tile not found: data/satellite\N29E095.hgt
4983,28.211485,93.587954,DEM tile not found: data/satellite\N28E093.hgt
4992,29.038419,95.816372,DEM tile not found: data/satellite\N29E095.hgt
5006,28.047728,93.564517,DEM tile not found: data/satellite\N28E093.hgt
5017,29.144703,95.595185,DEM tile not found: data/satellite\N29E095.hgt
5026,28.552077,93.654583,DEM tile not found: data/satellite\N28E093.hgt
5032,27.991008,97.037947,DEM tile not found: data/satellite\N27E097.hgt
5048,28.466995,93.566947,DEM tile not found: data/satellite\N28E093.hgt
5058,28.028483,97.375062,DEM tile not found: data/satellite\N28E097.hgt
5097,29.081318,95.808007,DEM tile not found: data/satellite\N29E095.hgt
5126,28.374789,93.559061,DEM tile not found: data/satellite\N28E093.hgt
5139,28.176229,93.879929,DEM tile not found: data/satellite\N28E093.hgt
5145,28.130256,97.031184,DEM tile not found: data/satellite\N28E097.hgt
5159,28.299176,93.846093,DEM tile not found: data/satellite\N28E093.hgt
5172,26.181941,89.868736,DEM tile not found: data/satellite\N26E089.hgt
5184,29.151509,95.546133,DEM tile not found: data/satellite\N29E095.hgt
5229,28.472765,93.301603,DEM tile not found: data/satellite\N28E093.hgt
5242,29.254008,95.628603,DEM tile not found: data/satellite\N29E095.hgt
5246,29.227509,94.600839,DEM tile not found: data/satellite\N29E094.hgt
5266,29.308783,95.796325,DEM tile not found: data/satellite\N29E095.hgt
5270,28.10207,93.473747,DEM tile not found: data/satellite\N28E093.hgt
5272,28.188009,97.2079,DEM tile not found: data/satellite\N28E097.hgt
5276,28.070506,93.387305,DEM tile not found: data/satellite\N28E093.hgt
5284,29.247202,95.949239,DEM tile not found: data/satellite\N29E095.hgt
5292,29.052951,94.279385,DEM tile not found: data/satellite\N29E094.hgt
5316,28.190524,97.051098,DEM tile not found: data/satellite\N28E097.hgt
5325,27.158259,97.050763,DEM tile not found: data/satellite\N27E097.hgt
5331,27.161881,97.004835,DEM tile not found: data/satellite\N27E097.hgt
5357,28.011091,97.199757,DEM tile not found: data/satellite\N28E097.hgt
5366,29.074531,95.055277,DEM tile not found: data/satellite\N29E095.hgt
5368,28.08677,92.694224,DEM tile not found: data/satellite\N28E092.hgt
5378,29.021495,95.142703,DEM tile not found: data/satellite\N29E095.hgt
5385,28.179286,92.804796,DEM tile not found: data/satellite\N28E092.hgt
5400,28.538207,93.538149,DEM tile not found: data/satellite\N28E093.hgt
5408,27.981831,97.249442,DEM tile not found: data/satellite\N27E097.hgt
5414,29.221373,95.65046,DEM tile not found: data/satellite\N29E095.hgt
5423,28.088914,93.765861,DEM tile not found: data/satellite\N28E093.hgt
5424,26.118126,89.844066,DEM tile not found: data/satellite\N26E089.hgt
5425,28.152504,93.588388,DEM tile not found: data/satellite\N28E093.hgt
5427,28.531946,93.92135,DEM tile not found: data/satellite\N28E093.hgt
5434,28.5161,93.354673,DEM tile not found: data/satellite\N28E093.hgt
5445,28.282298,93.870568,DEM tile not found: data/satellite\N28E093.hgt
5459,28.27156,93.866033,DEM tile not found: data/satellite\N28E093.hgt
5480,28.553917,93.417572,DEM tile not found: data/satellite\N28E093.hgt
5489,29.281843,95.73164,DEM tile not found: data/satellite\N29E095.hgt
5496,28.318998,93.999831,DEM tile not found: data/satellite\N28E093.hgt
5507,29.075167,94.765459,DEM tile not found: data/satellite\N29E094.hgt
5548,28.38268,93.842099,DEM tile not found: data/satellite\N28E093.hgt
5552,28.706108,93.971459,DEM tile not found: data/satellite\N28E093.hgt
5562,29.004629,94.493642,DEM tile not found: data/satellite\N29E094.hgt
5571,28.60284,93.775198,DEM tile not found: data/satellite\N28E093.hgt
5572,28.196676,93.323386,DEM tile not found: data/satellite\N28E093.hgt
5600,28.339146,93.328966,DEM tile not found: data/satellite\N28E093.hgt
5608,29.132767,94.549456,DEM tile not found: data/satellite\N29E094.hgt
5613,29.277927,96.003699,DEM tile not found: data/satellite\N29E096.hgt
5616,28.013846,93.745937,DEM tile not found: data/satellite\N28E093.hgt
5635,29.035621,95.597833,DEM tile not found: data/satellite\N29E095.hgt
5685,29.179391,96.097303,DEM tile not found: data/satellite\N29E096.hgt
5709,29.05363,95.192341,DEM tile not found: data/satellite\N29E095.hgt
5739,28.640645,93.575029,DEM tile not found: data/satellite\N28E093.hgt
5740,29.117626,94.764992,DEM tile not found: data/satellite\N29E094.hgt
5761,28.304434,93.34723,DEM tile not found: data/satellite\N28E093.hgt
5781,28.032557,93.679898,DEM tile not found: data/satellite\N28E093.hgt
5796,27.231794,97.025657,DEM tile not found: data/satellite\N27E097.hgt
5798,28.070681,93.310053,DEM tile not found: data/satellite\N28E093.hgt
5817,27.966818,97.108433,DEM tile not found: data/satellite\N27E097.hgt
5821,28.113401,93.393733,DEM tile not found: data/satellite\N28E093.hgt
5829,28.197011,93.9606,DEM tile not found: data/satellite\N28E093.hgt
