latitude,longitude,event_date,rainfall_mm_day,rainfall_source
25.890612,92.0457,2024-06-07,8.22499942779541,IMERG_Final_V07
27.820091,97.115108,2016-05-22,57.77001190185547,IMERG_Final_V07
26.917221,93.766913,2025-06-01,5.449999809265137,IMERG_Final_V07
27.645255,91.923106,2024-05-28,0.30000001192092896,IMERG_Final_V07
26.305898,92.79322,2024-06-12,9.225000381469727,IMERG_Final_V07
27.012906,92.563507,2024-05-28,46.26999282836914,IMERG_Final_V07
27.631649,88.390532,2024-05-28,4.3349995613098145,IMERG_Final_V07
27.971594,88.729488,2024-06-28,5.809999465942383,IMERG_Final_V07
28.083943,95.558176,2024-05-28,27.40999984741211,IMERG_Final_V07
23.876389,93.346398,2016-05-17,51.56500244140625,IMERG_Final_V07
23.92703,94.152119,2024-08-25,37.81499481201172,IMERG_Final_V07
23.414603,91.573296,2022-06-17,66.20001220703125,IMERG_Final_V07
23.345869,91.528557,2024-08-13,0.3349999785423279,IMERG_Final_V07
25.168349,93.154747,2016-05-22,0.755000114440918,IMERG_Final_V07
25.944543,91.53376,2024-07-09,14.594999313354492,IMERG_Final_V07
25.722888,91.148096,2025-05-31,15.889999389648438,IMERG_Final_V07
27.141419,92.851021,2016-05-22,3.554999351501465,IMERG_Final_V07
28.264937,95.974532,2024-05-28,31.154998779296875,IMERG_Final_V07
27.217694,93.566993,2025-01-19,0.0,IMERG_Final_V07
27.534105,96.374007,2024-05-28,56.21499252319336,IMERG_Final_V07
28.059464,97.098106,2022-05-14,12.845000267028809,IMERG_Final_V07
28.327295,94.319193,2014-09-22,23.374998092651367,IMERG_Final_V07
24.36059,93.005262,2020-06-02,2.8450002670288086,IMERG_Final_V07
27.89953,88.423202,2024-05-28,0.6599999666213989,IMERG_Final_V07
25.170488,91.480817,2024-07-02,5.755000114440918,IMERG_Final_V07
27.149139,95.550149,2013-08-18,0.0,IMERG_Final_V07
24.879842,94.651242,2024-07-07,15.605000495910645,IMERG_Final_V07
27.705526,94.660517,2016-07-14,28.485000610351562,IMERG_Final_V07
28.71238,94.164135,2020-06-02,17.145000457763672,IMERG_Final_V07
26.575967,92.36669,2025-05-31,8.930000305175781,IMERG_Final_V07
25.745227,93.314899,2024-10-07,13.280000686645508,IMERG_Final_V07
25.981654,91.936586,2025-06-02,7.529999256134033,IMERG_Final_V07
25.281027,92.066343,2024-05-28,82.30499267578125,IMERG_Final_V07
27.42307,92.718578,2024-05-28,32.48999786376953,IMERG_Final_V07
27.996196,93.085517,2025-06-01,12.459999084472656,IMERG_Final_V07
26.914966,92.610118,2024-05-28,33.46500015258789,IMERG_Final_V07
26.804087,92.84772,2024-05-28,40.41500473022461,IMERG_Final_V07
26.399713,92.317463,2007-09-07,52.32000732421875,IMERG_Final_V07
25.788967,90.232556,2025-05-30,35.95499801635742,IMERG_Final_V07
26.784301,94.537906,2025-07-07,17.469999313354492,IMERG_Final_V07
26.795908,95.354246,2019-07-16,0.0,IMERG_Final_V07
27.010518,93.154722,2007-08-12,9.194999694824219,IMERG_Final_V07
26.529789,91.622357,2025-06-01,71.18999481201172,IMERG_Final_V07
26.455643,93.214573,2025-06-01,0.8700000047683716,IMERG_Final_V07
26.42718,94.584889,2016-05-22,1.2249999046325684,IMERG_Final_V07
25.694809,91.208657,2025-07-31,0.0,IMERG_Final_V07
25.456659,90.851103,2024-05-28,5.25499963760376,IMERG_Final_V07
25.770189,94.155492,2019-06-27,4.860000133514404,IMERG_Final_V07
25.826312,94.555343,2025-06-01,12.28499984741211,IMERG_Final_V07
27.592414,93.848399,2021-08-23,7.199999809265137,IMERG_Final_V07
28.794697,95.27175,2025-06-01,30.57000160217285,IMERG_Final_V07
26.784905,92.349214,2025-06-25,0.0,IMERG_Final_V07
26.863531,92.554523,2025-06-01,11.47499942779541,IMERG_Final_V07
25.581621,92.623774,2007-07-25,135.9449920654297,IMERG_Final_V07
26.166236,94.118349,2016-07-01,22.170001983642578,IMERG_Final_V07
28.42937,93.659441,2025-06-01,7.77500057220459,IMERG_Final_V07
24.686894,94.257312,2024-05-28,80.05500793457031,IMERG_Final_V07
25.675447,89.949889,2025-07-06,0.559999942779541,IMERG_Final_V07
28.130256,97.031184,2016-05-22,44.40499496459961,IMERG_Final_V07
