sl_no,latitude,longitude,event_date,rainfall_mm_day,elevation_m,slope_degrees,historical_landslide,rainfall_source
23812,23.318568,92.852294,2025-05-31,45.29999542236328,810.0,12.260147486012336,1,IMERG_Final_V07
23813,23.323423,92.860926,2025-05-31,45.29999542236328,989.0,11.348119585994183,1,IMERG_Final_V07
23814,23.319412,92.855415,2025-05-31,45.29999542236328,950.0,23.75010057347409,1,IMERG_Final_V07
23815,23.319184,92.856725,2025-05-31,45.29999542236328,1024.0,27.432940772267944,1,IMERG_Final_V07
23816,23.309286,92.850807,2025-05-31,45.29999542236328,972.0,22.40687120493745,1,IMERG_Final_V07
23817,23.10112,92.852784,2025-05-31,54.70500183105469,772.0,18.305448954250743,1,IMERG_Final_V07
23818,23.309914,92.853522,2025-05-31,45.29999542236328,969.0,29.421439641486938,1,IMERG_Final_V07
23819,23.315273,92.856524,2025-05-31,45.29999542236328,971.0,33.16099672886019,1,IMERG_Final_V07
23820,23.311529,92.85443,2025-05-31,45.29999542236328,958.0,33.16099672886019,1,IMERG_Final_V07
23821,23.31637,92.854172,2025-05-31,45.29999542236328,895.0,21.04572088407584,1,IMERG_Final_V07
23822,23.310074,92.858498,2025-05-31,45.29999542236328,999.0,31.39687644298045,1,IMERG_Final_V07
23823,23.309295,92.860017,2025-05-31,45.29999542236328,997.0,18.64821573021375,1,IMERG_Final_V07
23824,23.308629,92.860039,2025-05-31,45.29999542236328,993.0,16.723558006484023,1,IMERG_Final_V07
23825,23.308778,92.858357,2025-05-31,45.29999542236328,960.0,21.04572088407583,1,IMERG_Final_V07
23826,23.300837,92.855693,2025-05-31,45.29999542236328,937.0,37.61935164481234,1,IMERG_Final_V07
23827,23.300787,92.853572,2025-05-31,45.29999542236328,997.0,32.754877470959904,1,IMERG_Final_V07
23828,23.305323,92.852358,2025-05-31,45.29999542236328,1070.0,28.176705590951745,1,IMERG_Final_V07
23830,23.304746,92.862109,2025-06-08,25.849998474121094,1005.0,33.423467333412106,1,IMERG_Final_V07
23831,23.298928,92.857435,2025-05-31,50.07499694824219,941.0,20.307500221928045,1,IMERG_Final_V07
23832,23.310846,92.858915,2025-05-31,45.29999542236328,1053.0,30.61885839795703,1,IMERG_Final_V07
23833,23.311335,92.858026,2025-05-31,45.29999542236328,1056.0,23.93089341141916,1,IMERG_Final_V07
23834,23.307089,92.854209,2025-05-31,45.29999542236328,1006.0,19.82702865340817,1,IMERG_Final_V07
23835,23.3057,92.852802,2025-05-31,45.29999542236328,1023.0,31.205779114725832,1,IMERG_Final_V07
23836,23.307093,92.856289,2025-06-01,127.99000549316406,981.0,19.31028740874557,1,IMERG_Final_V07
